datetime,timeframe,breakout_price,resistance_level,resistance_strength,resistance_timeframe,resistance_hits,resistance_reversals,price_change_pct,candle_range,rsi,volume_ratio,volatility,momentum_5,max_gain,hit_10,hit_20,hit_30,hit_50,hit_100,time_to_10,time_to_20,time_to_30,time_to_50
2023-03-31 13:45:00,15-minute,17354.95,17323.95,Weak,15m,2,0,0.05188531040386948,22.299999999999272,84.24705065926413,0.0,36.990117012235885,32.70000000000073,190.20000000000073,True,True,True,True,True,15.0,60.0,105.0,105.0
2023-03-31 14:00:00,15-minute,17360.8,17323.95,Weak,15m,2,0,0.028232474259461144,16.349999999998545,89.67582804792015,0.0,37.042793886898814,49.29999999999927,184.35000000000218,True,True,True,True,True,15.0,60.0,90.0,90.0
2023-03-31 14:15:00,15-minute,17360.4,17323.95,Weak,15m,2,0,-0.007775713853721802,26.350000000002183,89.33380581148162,0.0,39.98588599677718,43.75,184.75,True,True,True,True,True,30.0,45.0,75.0,75.0
2023-03-31 14:30:00,15-minute,17357.75,17323.95,Weak,15m,2,0,-0.021599516170837774,17.899999999997817,90.13228459063323,0.0,42.26467543319801,32.20000000000073,187.40000000000146,True,True,True,True,True,15.0,30.0,60.0,60.0
2023-03-31 15:15:00,15-minute,17356.85,17323.95,Weak,15m,2,0,-0.03340503897736181,29.799999999999272,81.42744479495262,0.0,44.1226516446798,-3.9500000000007276,193.40000000000146,True,True,True,True,True,15.0,15.0,15.0,15.0
2023-04-03 09:15:00,15-minute,17344.45,17323.95,Weak,15m,2,0,-0.47911544387033467,90.5,60.21924934968418,0.0,45.346132182880666,-13.299999999999272,225.54999999999927,True,True,True,True,True,15.0,30.0,30.0,330.0
2023-04-03 09:30:00,15-minute,17358.4,17323.95,Weak,15m,2,0,0.07523630252490097,37.25,57.222777222777516,0.0,41.54384011277361,-8.19999999999709,211.59999999999854,True,True,True,True,True,15.0,15.0,315.0,345.0
2023-04-03 09:45:00,15-minute,17374.75,17373.7,Strong,15m,9,2,0.09159592945386046,22.25,62.36075825679116,0.0,38.72171157591455,11.549999999999272,195.25,True,True,True,True,True,285.0,300.0,330.0,360.0
2023-04-03 10:30:00,15-minute,17337.85,17323.95,Weak,15m,2,0,-0.15088645794040406,29.299999999999272,48.749519045786855,0.0,28.914734451849363,-6.600000000002183,262.7000000000007,True,True,True,True,True,15.0,90.0,150.0,255.0
2023-04-03 10:45:00,15-minute,17338.85,17323.95,Weak,15m,2,0,0.006921353239897504,22.099999999998545,46.78385936875705,0.0,25.339729051846376,-19.55000000000291,261.7000000000007,True,True,True,True,True,60.0,75.0,195.0,240.0
2023-04-03 11:00:00,15-minute,17324.3,17323.95,Weak,15m,2,0,-0.08362747133596328,22.94999999999709,42.95366795366795,0.0,25.213973125816704,-50.45000000000073,278.90000000000146,True,True,True,True,True,30.0,45.0,60.0,195.0
2023-04-03 11:30:00,15-minute,17330.8,17289.1,Weak,1h,0,0,0.07217798513710931,23.349999999998545,45.10445049954567,0.0,23.784161580875814,-31.900000000001455,288.75,True,True,True,True,True,15.0,30.0,30.0,180.0
2023-04-03 11:30:00,15-minute,17330.8,17323.95,Weak,15m,2,0,0.07217798513710931,23.349999999998545,45.10445049954567,0.0,23.784161580875814,-31.900000000001455,288.75,True,True,True,True,True,15.0,30.0,30.0,180.0
2023-04-03 11:45:00,15-minute,17345.3,17323.95,Weak,15m,2,0,0.08222236967754407,19.600000000002183,46.208615165539435,0.0,22.944019258551798,7.450000000000728,275.25,True,True,True,True,True,15.0,75.0,150.0,180.0
2023-04-03 12:00:00,15-minute,17351.65,17323.95,Weak,15m,2,0,0.04122344258987838,25.399999999997817,47.96547472256488,0.0,22.826751820707354,12.80000000000291,269.6999999999971,True,True,True,True,True,15.0,120.0,150.0,180.0
2023-04-03 12:15:00,15-minute,17356.95,17323.95,Weak,15m,2,0,0.03083289149128716,19.400000000001455,50.017680339462906,0.0,22.83012941729597,32.650000000001455,264.3999999999978,True,True,True,True,True,45.0,120.0,150.0,180.0
2023-04-03 12:15:00,15-minute,17356.95,17353.75,Weak,15m,0,0,0.03083289149128716,19.400000000001455,50.017680339462906,0.0,22.83012941729597,32.650000000001455,264.3999999999978,True,True,True,True,True,45.0,120.0,150.0,180.0
2023-04-03 12:30:00,15-minute,17352.7,17323.95,Weak,15m,2,0,-0.023909868438096876,15.549999999999272,32.576985413289876,9.999988129709983,22.798643051724685,34.79999999999927,268.6499999999978,True,True,True,True,True,30.0,105.0,120.0,150.0
2023-04-03 12:45:00,15-minute,17344.55,17323.95,Weak,15m,2,0,-0.04840675504742107,18.649999999997817,50.03556187766663,4.641489545350635,22.871387549097225,13.75,276.7999999999993,True,True,True,True,True,15.0,15.0,90.0,120.0
2023-04-03 13:00:00,15-minute,17348.25,17323.95,Weak,15m,2,0,0.022197366296894356,32.599999999998545,46.1066359800531,3.3708384428173366,22.88957990922932,2.9500000000007276,278.40000000000146,True,True,True,True,True,45.0,60.0,90.0,120.0
2023-04-03 13:15:00,15-minute,17342.7,17323.95,Weak,15m,2,0,-0.031415453520984814,16.200000000000728,36.595566708490395,1.8013927782001702,22.79858605957216,-8.950000000000728,296.0,True,True,True,True,True,15.0,45.0,60.0,90.0
2023-04-03 13:30:00,15-minute,17347.4,17323.95,Weak,15m,2,0,0.030273063028517223,17.30000000000291,41.26916524701885,0.0,22.67808239363616,-9.549999999999272,291.2999999999993,True,True,True,True,True,15.0,30.0,45.0,75.0
2023-04-03 13:45:00,15-minute,17348.6,17323.95,Weak,15m,2,0,0.01152963693173302,19.349999999998545,43.783068783067705,0.0,22.65277068565253,-4.100000000002183,290.1000000000022,True,True,True,True,True,15.0,15.0,45.0,75.0
2023-04-03 14:00:00,15-minute,17371.75,17323.95,Weak,15m,2,0,0.13863509283651015,29.0,65.17457475380587,0.0,14.731543984178126,27.200000000000728,266.9500000000007,True,True,True,True,True,30.0,45.0,60.0,90.0
