type,price,datetime,prev_candle_idx,curr_candle_idx,prev_high,curr_high,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
resistance,22432.6,2025-04-08 10:30:00,1591,1592,22429.35,22432.6,22424.35,22292.65,0.6238688337508674,16,5,71.25,Very Strong
resistance,24923.2,2024-10-07 14:45:00,1166,1167,24816.65,24923.2,24816.65,24799.7,0.49552224433459585,15,5,70.99,Very Strong
resistance,22513.2,2024-03-28 14:45:00,698,699,22513.2,22503.45,22503.2,22419.95,0.414201446262637,46,7,70.83,Very Strong
resistance,23339.35,2025-04-01 10:45:00,1462,1463,23324.65,23339.35,23319.95,23243.15,0.41217943087531184,23,5,70.82,Very Strong
resistance,24960.05,2024-10-07 12:30:00,1157,1158,24960.05,24927.4,24926.45,24878.75,0.32572050136117225,44,6,70.65,Very Strong
resistance,25293.6,2024-10-04 10:00:00,1121,1122,25283.35,25293.6,25279.3,25213.7,0.31589018565960486,29,5,70.63,Very Strong
resistance,25167.25,2025-10-07 15:00:00,1921,1922,25167.25,25139.0,25137.35,25091.0,0.30297310989480375,32,6,70.61,Very Strong
resistance,22496.9,2024-04-02 09:45:00,730,731,22496.9,22483.7,22480.5,22429.9,0.29781881059168147,37,4,70.6,Very Strong
resistance,24900.7,2024-10-08 10:00:00,1173,1174,24900.7,24873.45,24856.4,24827.85,0.2925620564883806,8,3,70.59,Very Strong
resistance,24835.6,2024-10-07 14:00:00,1163,1164,24802.65,24835.6,24782.4,24763.1,0.29191966370854744,34,5,70.58,Very Strong
resistance,25310.35,2025-10-14 09:30:00,2028,2029,25310.35,25298.05,25292.2,25236.85,0.29039503602281286,12,4,70.58,Very Strong
resistance,22426.55,2024-04-15 11:00:00,943,944,22426.55,22426.45,22424.55,22361.9,0.28827438906117,26,3,70.58,Very Strong
resistance,25189.85,2024-10-09 10:15:00,1200,1201,25189.85,25171.85,25171.0,25117.6,0.2868218746836524,56,8,70.57,Very Strong
resistance,25220.35,2025-10-07 14:15:00,1918,1919,25214.55,25220.35,25212.55,25153.25,0.2660549913066177,27,7,70.53,Very Strong
resistance,25884.15,2025-10-20 14:15:00,2151,2152,25861.7,25884.15,25861.05,25817.15,0.2588456642385398,9,3,70.52,Very Strong
resistance,23292.9,2025-04-02 09:30:00,1483,1484,23250.65,23292.9,23246.5,23234.0,0.2528667533883778,42,6,70.51,Very Strong
resistance,25134.35,2025-10-08 14:00:00,1943,1944,25131.95,25134.35,25127.85,25070.3,0.2548305406744128,19,5,70.51,Very Strong
resistance,23258.8,2025-04-01 11:30:00,1465,1466,23258.8,23249.4,23250.85,23200.1,0.2523775947168415,24,6,70.5,Very Strong
resistance,23252.25,2025-04-01 12:45:00,1470,1471,23252.25,23233.2,23228.05,23194.6,0.24793299573160213,17,6,70.5,Very Strong
resistance,22696.95,2024-04-08 13:15:00,848,849,22696.05,22696.95,22695.25,22639.8,0.2517959461513615,32,7,70.5,Very Strong
resistance,22568.1,2024-04-04 14:45:00,802,803,22564.95,22568.1,22563.95,22514.7,0.23661717202599167,16,5,70.47,Very Strong
resistance,17649.1,2023-04-10 10:15:00,108,109,17649.1,17636.4,17630.0,17609.3,0.22550724966145172,55,7,70.45,Very Strong
resistance,24667.75,2025-09-29 12:30:00,1781,1782,24667.75,24659.7,24658.55,24613.5,0.21992277366196755,30,4,70.44,Very Strong
resistance,25159.75,2024-10-09 13:00:00,1211,1212,25159.75,25141.4,25140.5,25104.35,0.22019296694125123,65,5,70.44,Very Strong
resistance,25079.1,2024-10-10 11:00:00,1229,1230,25079.1,25075.6,25072.0,25025.05,0.21551810072928962,71,4,70.43,Very Strong
resistance,23296.9,2025-04-02 12:45:00,1496,1497,23294.95,23296.9,23286.15,23247.9,0.2103284127931184,30,4,70.42,Very Strong
resistance,22664.3,2024-04-09 14:00:00,877,878,22664.3,22659.05,22652.7,22617.5,0.20649214844490799,18,4,70.41,Very Strong
resistance,22529.1,2024-04-01 09:30:00,703,704,22517.85,22529.1,22493.85,22482.6,0.20639972302488782,27,7,70.41,Very Strong
resistance,23512.75,2025-03-26 15:15:00,1402,1403,23512.75,23501.75,23501.45,23464.3,0.20605841511520656,8,5,70.41,Very Strong
