type,price,datetime,timeframe,candle_idx,retracement_pct,num_hits,num_reversals,strength_score,strength
resistance,17257.9,2023-03-31 11:00:00,15m,8,0.07185115222594553,0,0,0.14,Weak
resistance,17289.1,2023-03-31 10:15:00,1h,1,0.2521820106309672,0,0,0.5,Weak
resistance,17323.95,2023-03-31 12:45:00,15m,15,0.07186582736616491,2,0,10.14,Weak
resistance,17353.75,2023-04-03 11:00:00,15m,34,0.1697039544767023,0,0,0.34,Weak
resistance,17373.7,2023-03-31 14:15:00,15m,21,0.07655249025825973,9,2,60.15,Strong
resistance,17397.9,2023-04-03 14:45:00,15m,49,0.08736686611602967,0,0,0.17,Weak
resistance,17427.95,2023-04-03 00:00:00,1d,1,0.16209594358487373,5,2,45.32,Moderate
resistance,17473.15,2023-04-05 09:30:00,15m,54,0.08699061130935593,0,0,0.17,Weak
resistance,17498.7,2023-04-05 11:30:00,15m,62,0.06000445747398377,0,0,0.12,Weak
resistance,17537.55,2023-04-06 09:45:00,15m,81,0.055309892202734856,0,0,0.11,Weak
resistance,17593.15,2023-04-21 12:45:00,15m,327,0.10288095082462312,0,0,0.21,Weak
resistance,17612.2,2023-04-21 11:15:00,15m,321,0.043719694302816955,0,0,0.09,Weak
resistance,17631.6,2023-04-20 12:00:00,15m,298,0.06267156695931891,14,5,70.13,Very Strong
resistance,17651.95,2023-04-17 09:45:00,15m,211,0.3891921289149398,51,2,60.78,Strong
resistance,17676.55,2023-04-17 11:00:00,15m,216,0.20139676577159313,33,4,70.4,Very Strong
resistance,17696.35,2023-04-18 10:45:00,15m,241,0.09013158080619502,3,2,35.18,Moderate
resistance,17716.9,2023-04-17 15:15:00,1h,62,0.07224740219791786,34,5,70.14,Very Strong
resistance,17748.6,2023-04-11 10:15:00,1h,36,0.24987886368501486,31,4,70.5,Very Strong
resistance,17770.1,2023-04-13 12:00:00,15m,194,0.13224461314230085,3,3,45.26,Moderate
resistance,17793.5,2023-04-13 14:00:00,15m,202,0.07249838424144465,0,0,0.14,Weak
resistance,17816.95,2023-04-13 10:00:00,15m,186,0.13779013804270243,2,1,20.28,Weak
resistance,17841.5,2023-04-13 15:15:00,1h,55,0.07482554717932094,10,5,70.15,Very Strong
resistance,17863.0,2023-04-17 00:00:00,1d,8,0.8895482281811646,4,2,41.78,Moderate
resistance,19368.75,2023-10-04 12:45:00,15m,353,0.07899322362051898,0,0,0.16,Weak
resistance,19414.0,2023-10-04 10:00:00,15m,342,0.10842690841660282,0,0,0.22,Weak
resistance,19525.4,2023-10-09 13:00:00,15m,432,0.07605477992769512,12,4,70.15,Very Strong
resistance,19547.55,2023-10-05 09:45:00,15m,367,0.05883090208235815,49,4,70.12,Very Strong
resistance,19567.45,2023-10-05 12:00:00,15m,376,0.06464817848008532,52,3,70.13,Very Strong
resistance,19588.6,2023-10-09 10:15:00,1h,113,0.15519230572883114,46,8,70.31,Very Strong
resistance,19616.45,2023-10-06 10:00:00,15m,394,0.066270910383887,20,3,70.13,Very Strong
resistance,19652.55,2023-10-19 14:45:00,15m,647,0.05724447972400528,0,0,0.11,Weak
resistance,19674.55,2023-10-10 12:45:00,15m,457,0.021347375162332698,30,4,70.04,Very Strong
resistance,19698.6,2023-10-18 15:00:00,15m,622,0.13478115196003407,1,1,15.27,Weak
resistance,19722.55,2023-10-13 12:45:00,15m,535,0.013436396409175372,18,5,70.03,Very Strong
resistance,19750.2,2023-10-13 13:15:00,15m,537,0.09088515559336477,18,5,70.18,Very Strong
resistance,19771.5,2023-10-16 14:30:00,15m,568,0.07005032496269148,6,3,60.14,Strong
resistance,19798.35,2023-10-12 10:15:00,15m,499,0.048741435523656354,29,7,70.1,Very Strong
resistance,19818.6,2023-10-11 13:15:00,1h,130,0.07770478237614069,86,4,70.16,Very Strong
resistance,19838.9,2023-10-11 10:15:00,1h,127,0.1539903926125083,68,5,70.31,Very Strong
resistance,21901.65,2024-04-19 10:15:00,1h,274,0.14131355400164247,4,1,30.28,Moderate
resistance,21943.25,2025-04-07 12:45:00,15m,1575,0.35546238592733526,0,0,0.71,Weak
resistance,22069.5,2025-04-07 11:30:00,15m,1570,0.3056254106345895,0,0,0.61,Weak
resistance,22136.05,2024-04-16 13:00:00,15m,978,0.15992013028520363,3,3,45.32,Moderate
resistance,22163.8,2024-04-18 14:00:00,15m,1008,0.11708281070935819,1,1,15.23,Weak
resistance,22188.4,2025-04-07 09:30:00,15m,1562,0.7512934686593027,1,0,6.5,Weak
resistance,22213.5,2024-04-16 10:00:00,15m,966,0.09948904945190332,9,3,70.2,Very Strong
resistance,22254.9,2024-05-15 11:15:00,1h,334,0.22848900691534083,7,2,55.46,Strong
resistance,22295.2,2024-04-18 11:15:00,15m,997,0.08589292762568379,0,0,0.17,Weak
resistance,22326.0,2024-03-28 10:15:00,15m,681,0.1820747110991734,23,4,70.36,Very Strong
resistance,22353.9,2024-04-15 14:00:00,15m,956,0.08835147334469601,1,1,15.18,Weak
resistance,22387.85,2024-04-15 11:30:00,15m,946,0.06811730469875402,12,2,60.14,Strong
resistance,22412.6,2024-04-23 14:15:00,1h,292,0.15660833638220711,74,3,70.31,Very Strong
resistance,22435.45,2025-04-09 11:45:00,15m,1623,0.09181897398983387,0,0,0.18,Weak
resistance,22458.95,2024-04-24 14:15:00,1h,299,0.2546868842933473,92,2,60.51,Strong
resistance,22489.05,2024-04-01 12:00:00,15m,714,0.11939143716608103,57,3,70.24,Very Strong
resistance,22511.85,2024-04-05 12:30:00,15m,820,0.08062420458557523,3,3,45.16,Moderate
resistance,22549.05,2024-04-12 15:00:00,15m,934,0.14723458416208546,6,4,60.29,Strong
resistance,22573.1,2025-04-08 09:15:00,1h,939,0.8379442788097241,8,4,71.68,Very Strong
resistance,22596.2,2024-04-12 13:00:00,15m,926,0.12457846894611242,6,2,50.25,Strong
resistance,22623.85,2024-04-08 09:45:00,15m,835,0.1423276763238666,13,2,60.28,Strong
resistance,22651.95,2024-04-08 11:45:00,15m,843,0.02516339652877888,23,4,70.05,Very Strong
resistance,22675.3,2024-04-08 13:45:00,15m,851,0.08577615290646971,40,6,70.17,Very Strong
