type,price,datetime,prev_candle_idx,curr_candle_idx,prev_low,curr_low,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
support,24799.0,2024-10-07 11:15:00,1152,1153,24799.0,24887.6,24889.7,24975.2,0.7105125206661589,36,4,71.42,Very Strong
support,23665.65,2025-03-25 09:30:00,1353,1354,23665.65,23720.9,23723.5,23788.1,0.5174165932480075,17,3,71.03,Very Strong
support,22307.45,2024-04-04 11:00:00,787,788,22307.45,22338.25,22362.95,22417.45,0.49310880445770355,11,3,70.99,Very Strong
support,24757.4,2024-10-08 09:45:00,1172,1173,24757.4,24802.4,24802.35,24856.4,0.39988043978769977,37,5,70.8,Very Strong
support,24718.85,2024-10-07 14:30:00,1165,1166,24718.85,24722.0,24721.9,24816.65,0.39564947398444067,15,4,70.79,Very Strong
support,19513.35,2023-10-19 09:45:00,626,627,19513.35,19536.85,19542.6,19588.7,0.3861458949898515,10,4,70.77,Very Strong
support,21962.0,2024-04-18 15:15:00,1012,1013,21962.5,21962.0,21965.65,22045.75,0.3813404972224752,9,4,70.76,Very Strong
support,25094.85,2024-10-04 09:30:00,1119,1120,25118.35,25094.85,25130.5,25189.55,0.37736826480333907,75,3,70.75,Very Strong
support,24885.95,2024-10-08 13:00:00,1185,1186,24885.95,24898.25,24910.75,24975.15,0.3584351812970802,8,5,70.72,Very Strong
support,22263.75,2024-04-15 09:45:00,938,939,22263.75,22279.0,22280.7,22343.85,0.3597776654876135,9,6,70.72,Very Strong
support,24694.85,2024-10-07 13:45:00,1162,1163,24694.85,24699.3,24730.55,24782.4,0.35452736096798687,12,4,70.71,Very Strong
support,22264.65,2024-03-28 15:15:00,700,701,22264.95,22264.65,22268.9,22343.1,0.35235227142576725,11,7,70.7,Very Strong
support,22278.5,2024-03-28 10:30:00,681,682,22281.85,22278.5,22285.35,22355.5,0.34562470543348967,18,7,70.69,Very Strong
support,23628.35,2025-03-25 11:45:00,1362,1363,23631.9,23628.35,23642.55,23710.05,0.3457710758474491,9,4,70.69,Very Strong
support,24925.1,2024-10-08 15:00:00,1193,1194,24925.1,24967.15,24966.8,25010.95,0.34443191802641593,29,6,70.69,Very Strong
support,24668.25,2025-09-29 09:30:00,1769,1770,24668.25,24704.2,24712.1,24750.8,0.3346406818481217,19,3,70.67,Very Strong
support,24996.95,2024-10-10 09:45:00,1224,1225,25012.0,24996.95,25013.75,25080.65,0.3348408505837741,49,4,70.67,Very Strong
support,24996.6,2024-10-16 09:30:00,1327,1328,24996.6,25016.4,25016.75,25078.75,0.32864469567861815,26,3,70.66,Very Strong
support,25014.4,2024-10-15 10:30:00,1305,1306,25029.4,25014.4,25033.2,25089.25,0.29922764487654524,50,8,70.6,Very Strong
support,22415.9,2024-04-02 09:30:00,729,730,22415.9,22441.4,22444.35,22480.5,0.288188294915656,43,5,70.58,Very Strong
support,23644.3,2025-03-25 13:30:00,1369,1370,23644.3,23665.85,23667.5,23711.6,0.28463519748945526,10,4,70.57,Very Strong
support,24947.9,2024-10-09 15:15:00,1220,1221,24947.9,24971.0,24971.15,25019.55,0.2871985217192542,48,6,70.57,Very Strong
support,24614.15,2025-09-29 15:15:00,1792,1793,24614.15,24619.45,24639.65,24677.55,0.2575754190171012,20,4,70.52,Very Strong
support,23614.75,2025-03-26 09:45:00,1380,1381,23641.4,23614.75,23646.2,23674.9,0.2547136853026242,12,3,70.51,Very Strong
